,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
525,"Cornsalad, raw",100 g,21,0.4g,,0,4.00 mg,0,14.00 mcg,0.00 mcg,0.415 mg,0.042 mg,0.087 mg,0.071 mg,7092.00 IU,355.00 mcg,0,0,0,0,0,0.00 mcg,0.273 mg,38.2 mg,0.00 IU,0,0,0,38.00 mg,0.134 mg,2.18 mg,13.00 mg,0.359 mg,53.00 mg,459.00 mg,0.9 mcg,0.59 mg,2.00 g,0.088 g,0.091 g,0.176 g,0.020 g,0.203 g,0.079 g,0.036 g,0,0.099 g,0.133 g,0.101 g,0.025 g,0.091 g,0.078 g,0.063 g,0.075 g,0.026 g,0.036 g,0.099 g,3.60 g,0,0,0,0,0,0,0,0,0.40 g,0,0,0,0.00 mg,0,1.20 g,0,0,92.80 g
526,"Strudel, apple",100 g,274,11g,2g,6mg,135.00 mg,17.4 mg,28.00 mcg,22.00 mcg,0.330 mg,0.270 mg,0.025 mg,0.040 mg,30.00 IU,6.00 mcg,1.00 mcg,5.00 mcg,3.00 mcg,42.00 mcg,0,0.22 mcg,0.046 mg,1.7 mg,0.00 IU,1.42 mg,1.42 mg,2.9 mcg,15.00 mg,0.030 mg,0.42 mg,9.00 mg,0.190 mg,33.00 mg,149.00 mg,6.1 mcg,0.19 mg,3.30 g,0.116 g,0.135 g,0.206 g,0.058 g,0.848 g,0.097 g,0.076 g,0,0.147 g,0.257 g,0.153 g,0.067 g,0.151 g,0.305 g,0.183 g,0.119 g,0.039 g,0.115 g,0.164 g,41.10 g,2.2 g,25.75 g,0,0,0,0,0,0,11.20 g,2.044 g,3.267 g,5.315 g,6.00 mg,0.0 g,0.80 g,0.00 mg,0.00 mg,43.50 g
527,"Oil, cupu assu",100 g,884,100g,53g,0,0.00 mg,0,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0,0.60 mg,0.60 mg,0,0.00 mg,0,0,0.00 mg,0,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,53.200 g,38.700 g,3.800 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.00 g
528,"Cherimoya, raw",100 g,75,0.7g,0.2g,0,7.00 mg,0,23.00 mcg,0.00 mcg,0.644 mg,0.345 mg,0.131 mg,0.101 mg,5.00 IU,0.00 mcg,0.00 mcg,2.00 mcg,1.00 mcg,6.00 mcg,0,0.00 mcg,0.257 mg,12.6 mg,0,0.27 mg,0.27 mg,0,10.00 mg,0.069 mg,0.27 mg,17.00 mg,0.093 mg,26.00 mg,287.00 mg,0,0.16 mg,1.57 g,0.063 g,0.031 g,0.105 g,0.010 g,0.199 g,0.052 g,0.021 g,0,0.042 g,0.063 g,0.042 g,0.021 g,0.042 g,0.157 g,0.063 g,0.052 g,0.031 g,0.031 g,0.063 g,17.71 g,3.0 g,12.87 g,6.28 g,0.00 g,5.93 g,0.00 g,0.00 g,0.66 g,0.68 g,0.233 g,0.055 g,0.188 g,0.00 mg,0,0.65 g,0,0,79.39 g
529,"Cheese, tilsit",100 g,340,26g,17g,102mg,753.00 mg,0,20.00 mcg,0.00 mcg,0.205 mg,0.346 mg,0.359 mg,0.061 mg,1045.00 IU,249.00 mcg,0,0,0,0,0,2.10 mcg,0.065 mg,0.0 mg,0,0,0,0,700.00 mg,0.026 mg,0.23 mg,13.00 mg,0.013 mg,500.00 mg,65.00 mg,14.5 mcg,3.50 mg,24.41 g,0.811 g,0.849 g,1.798 g,0.138 g,5.490 g,0.497 g,0.704 g,0,1.484 g,2.548 g,2.039 g,0.754 g,1.358 g,2.969 g,1.393 g,0.899 g,0.352 g,1.458 g,1.752 g,1.88 g,0.0 g,0,0,0,0,0,0,0,25.98 g,16.775 g,7.136 g,0.721 g,102.00 mg,0.0 g,4.87 g,0,0,42.86 g
530,"Asparagus, raw",100 g,20,0.1g,,0,2.00 mg,16.0 mg,52.00 mcg,0.00 mcg,0.978 mg,0.274 mg,0.141 mg,0.143 mg,756.00 IU,38.00 mcg,9.00 mcg,449.00 mcg,0.00 mcg,710.00 mcg,0,0.00 mcg,0.091 mg,5.6 mg,0.00 IU,1.13 mg,1.13 mg,41.6 mcg,24.00 mg,0.189 mg,2.14 mg,14.00 mg,0.158 mg,52.00 mg,202.00 mg,2.3 mcg,0.54 mg,2.20 g,0.115 g,0.091 g,0.508 g,0.031 g,0.233 g,0.093 g,0.049 g,0,0.075 g,0.128 g,0.104 g,0.031 g,0.075 g,0.071 g,0.106 g,0.084 g,0.027 g,0.052 g,0.115 g,3.88 g,2.1 g,1.88 g,1.00 g,0.00 g,0.65 g,0.00 g,0.00 g,0.23 g,0.12 g,0.040 g,0.000 g,0.050 g,0.00 mg,0.0 g,0.58 g,0.00 mg,0.00 mg,93.22 g
531,"Apricots, raw",100 g,48,0.4g,,0,1.00 mg,2.8 mg,9.00 mcg,0.00 mcg,0.600 mg,0.240 mg,0.040 mg,0.030 mg,1926.00 IU,96.00 mcg,19.00 mcg,1094.00 mcg,104.00 mcg,89.00 mcg,0,0.00 mcg,0.054 mg,10.0 mg,0.00 IU,0.89 mg,0.89 mg,3.3 mcg,13.00 mg,0.078 mg,0.39 mg,10.00 mg,0.077 mg,23.00 mg,259.00 mg,0.1 mcg,0.20 mg,1.40 g,0.068 g,0.045 g,0.314 g,0.003 g,0.157 g,0.040 g,0.027 g,0,0.041 g,0.077 g,0.097 g,0.006 g,0.052 g,0.101 g,0.083 g,0.047 g,0.015 g,0.029 g,0.047 g,11.12 g,2.0 g,9.24 g,0.94 g,0.00 g,2.37 g,0.00 g,0.06 g,5.87 g,0.39 g,0.027 g,0.170 g,0.077 g,0.00 mg,0.0 g,0.75 g,0.00 mg,0.00 mg,86.35 g
532,"Broccoli, raw",100 g,34,0.4g,,0,33.00 mg,18.7 mg,63.00 mcg,0.00 mcg,0.639 mg,0.573 mg,0.117 mg,0.071 mg,623.00 IU,31.00 mcg,25.00 mcg,361.00 mcg,1.00 mcg,1403.00 mcg,0,0.00 mcg,0.175 mg,89.2 mg,0.00 IU,0.78 mg,0.78 mg,101.6 mcg,47.00 mg,0.049 mg,0.73 mg,21.00 mg,0.210 mg,66.00 mg,316.00 mg,2.5 mcg,0.41 mg,2.82 g,0.104 g,0.191 g,0.325 g,0.028 g,0.542 g,0.089 g,0.059 g,0,0.079 g,0.129 g,0.135 g,0.038 g,0.117 g,0.110 g,0.121 g,0.088 g,0.033 g,0.050 g,0.125 g,6.64 g,2.6 g,1.70 g,0.68 g,0.00 g,0.49 g,0.21 g,0.21 g,0.10 g,0.37 g,0.039 g,0.011 g,0.038 g,0.00 mg,0.0 g,0.87 g,0.00 mg,0.00 mg,89.30 g
533,"Cheese, brick",100 g,371,30g,19g,94mg,560.00 mg,15.4 mg,20.00 mcg,0.00 mcg,0.118 mg,0.288 mg,0.351 mg,0.014 mg,1080.00 IU,292.00 mcg,0.00 mcg,76.00 mcg,0.00 mcg,0.00 mcg,0,1.26 mcg,0.065 mg,0.0 mg,22.00 IU,0.26 mg,0.26 mg,2.5 mcg,674.00 mg,0.024 mg,0.43 mg,24.00 mg,0.012 mg,451.00 mg,136.00 mg,14.5 mcg,2.60 mg,23.24 g,0.670 g,0.874 g,1.588 g,0.131 g,5.515 g,0.437 g,0.823 g,0,1.137 g,2.244 g,2.124 g,0.565 g,1.231 g,2.575 g,1.289 g,0.882 g,0.324 g,1.115 g,1.472 g,2.79 g,0.0 g,0.51 g,0,0,0,0,0,0,29.68 g,18.764 g,8.598 g,0.784 g,94.00 mg,0.0 g,3.18 g,0.00 mg,0.00 mg,41.11 g
534,"Sugars, brown",100 g,380,0g,,0,28.00 mg,2.3 mg,1.00 mcg,0.00 mcg,0.110 mg,0.132 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.041 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,83.00 mg,0.047 mg,0.71 mg,9.00 mg,0.064 mg,4.00 mg,133.00 mg,1.2 mcg,0.03 mg,0.12 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.09 g,0.0 g,97.02 g,1.11 g,0.00 g,1.35 g,0.00 g,0.00 g,94.56 g,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.45 g,0.00 mg,0.00 mg,1.34 g
535,Candied fruit,100 g,322,0.1g,,0,98.00 mg,2.2 mg,0.00 mcg,0.00 mcg,0.000 mg,0,0.000 mg,0.000 mg,19.00 IU,1.00 mcg,0.00 mcg,9.00 mcg,5.00 mcg,11.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0.00 IU,0.04 mg,0.04 mg,0.3 mcg,18.00 mg,0.029 mg,0.17 mg,4.00 mg,0.111 mg,5.00 mg,56.00 mg,0.6 mcg,0.05 mg,0.34 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.74 g,1.6 g,80.68 g,0,0,0,0,0,0,0.07 g,0.010 g,0.008 g,0.020 g,0.00 mg,0.0 g,0.14 g,0.00 mg,0.00 mg,16.70 g
536,"Bologna, beef",100 g,299,26g,10g,57mg,1013.00 mg,29.7 mg,3.00 mcg,0.00 mcg,2.321 mg,0.385 mg,0.065 mg,0.030 mg,90.00 IU,19.00 mcg,6.00 mcg,11.00 mcg,11.00 mcg,0.00 mcg,0,1.19 mcg,0.157 mg,15.2 mg,28.00 IU,0.56 mg,0.56 mg,2.4 mcg,21.00 mg,0.053 mg,1.29 mg,13.00 mg,0.040 mg,154.00 mg,351.00 mg,11.6 mcg,1.93 mg,10.91 g,0.676 g,0.743 g,1.063 g,0.111 g,1.783 g,0.537 g,0.409 g,0.075 g,0.508 g,0.940 g,1.045 g,0.295 g,0.437 g,0.489 g,0.449 g,0.514 g,0.122 g,0.406 g,0.545 g,4.29 g,0.0 g,2.05 g,0.00 g,0.00 g,1.65 g,0.00 g,0.40 g,0.00 g,26.13 g,10.487 g,12.198 g,1.182 g,57.00 mg,0.0 g,3.37 g,0.00 mg,0.00 mg,55.31 g
537,Blood sausage,100 g,379,35g,13g,120mg,680.00 mg,72.8 mg,5.00 mcg,0.00 mcg,1.200 mg,0.600 mg,0.130 mg,0.070 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,1.00 mcg,0.040 mg,0.0 mg,52.00 IU,0.13 mg,0.13 mg,0.0 mcg,6.00 mg,0.040 mg,6.40 mg,8.00 mg,0.010 mg,22.00 mg,38.00 mg,15.5 mcg,1.30 mg,14.60 g,1.050 g,0.680 g,1.350 g,0.180 g,2.120 g,0.910 g,0.710 g,0,0.320 g,1.390 g,1.050 g,0.200 g,0.820 g,1.000 g,0.680 g,0.570 g,0.180 g,0.340 g,1.020 g,1.29 g,0.0 g,1.29 g,0,0,0,0,0,1.30 g,34.50 g,13.400 g,15.900 g,3.460 g,120.00 mg,0.0 g,2.31 g,0.00 mg,0.00 mg,47.30 g
538,"Nuts, almonds",100 g,579,50g,3.8g,0,1.00 mg,52.1 mg,44.00 mcg,0.00 mcg,3.618 mg,0.471 mg,1.138 mg,0.205 mg,2.00 IU,0.00 mcg,0.00 mcg,1.00 mcg,0.00 mcg,1.00 mcg,0,0.00 mcg,0.137 mg,0.0 mg,0.00 IU,25.63 mg,25.63 mg,0.0 mcg,269.00 mg,1.031 mg,3.71 mg,270.00 mg,2.179 mg,481.00 mg,733.00 mg,4.1 mcg,3.12 mg,21.15 g,0.999 g,2.465 g,2.639 g,0.215 g,6.206 g,1.429 g,0.539 g,0,0.751 g,1.473 g,0.568 g,0.157 g,1.132 g,0.969 g,0.912 g,0.601 g,0.211 g,0.450 g,0.855 g,21.55 g,12.5 g,4.35 g,0.11 g,0.07 g,0.17 g,0.00 g,0.04 g,3.95 g,49.93 g,3.802 g,31.551 g,12.329 g,0.00 mg,0.0 g,2.97 g,0.00 mg,0.00 mg,4.41 g
539,"Shallots, raw",100 g,72,0.1g,,0,12.00 mg,11.3 mg,34.00 mcg,0.00 mcg,0.200 mg,0.290 mg,0.020 mg,0.060 mg,4.00 IU,0.00 mcg,0.00 mcg,3.00 mcg,0.00 mcg,8.00 mcg,0,0.00 mcg,0.345 mg,8.0 mg,0.00 IU,0.04 mg,0.04 mg,0.8 mcg,37.00 mg,0.088 mg,1.20 mg,21.00 mg,0.292 mg,60.00 mg,334.00 mg,1.2 mcg,0.40 mg,2.50 g,0.113 g,0.181 g,0.231 g,0,0.517 g,0.124 g,0.043 g,0,0.106 g,0.149 g,0.125 g,0.027 g,0.081 g,0.165 g,0.113 g,0.098 g,0.028 g,0.072 g,0.110 g,16.80 g,3.2 g,7.87 g,0,0,0,0,0,0,0.10 g,0.017 g,0.014 g,0.039 g,0.00 mg,0.0 g,0.80 g,0.00 mg,0.00 mg,79.80 g
540,"Couscous, dry",100 g,376,0.6g,0.1g,0,10.00 mg,0,20.00 mcg,0.00 mcg,3.490 mg,1.243 mg,0.078 mg,0.163 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.110 mg,0.0 mg,0.00 IU,0,0,0,24.00 mg,0.247 mg,1.08 mg,44.00 mg,0.780 mg,170.00 mg,166.00 mg,0,0.83 mg,12.76 g,0.374 g,0.470 g,0.521 g,0.360 g,4.600 g,0.403 g,0.259 g,0,0.493 g,0.872 g,0.245 g,0.199 g,0.620 g,1.404 g,0.601 g,0.337 g,0.163 g,0.335 g,0.544 g,77.43 g,5.0 g,0,0,0,0,0,0,0,0.64 g,0.117 g,0.089 g,0.252 g,0.00 mg,0,0.62 g,0,0,8.56 g
541,"Candies, hard",100 g,394,0.2g,,0,38.00 mg,0.0 mg,0.00 mcg,0.00 mcg,0.007 mg,0.008 mg,0.003 mg,0.004 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.003 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,3.00 mg,0.029 mg,0.30 mg,3.00 mg,0.010 mg,3.00 mg,5.00 mg,0.6 mcg,0.01 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.00 g,0.0 g,62.90 g,0,0,0,0,0,0,0.20 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,0.50 g,0.00 mg,0.00 mg,1.30 g
542,Meat extender,100 g,311,3g,0.4g,0,10.00 mg,0,198.00 mcg,0.00 mcg,22.021 mg,1.492 mg,0.891 mg,0.702 mg,32.00 IU,2.00 mcg,0,0,0,0,0,6.00 mcg,1.336 mg,0.0 mg,0.00 IU,0,0,0,204.00 mg,0.304 mg,11.99 mg,216.00 mg,0.271 mg,639.00 mg,1902.00 mg,7.4 mcg,2.21 mg,41.71 g,1.755 g,3.123 g,4.745 g,0.627 g,8.668 g,1.688 g,1.068 g,0,1.995 g,3.263 g,2.596 g,0.520 g,2.182 g,2.296 g,2.235 g,1.615 g,0.574 g,1.428 g,2.115 g,34.71 g,17.5 g,0,0,0,0,0,0,0,2.97 g,0.424 g,0.648 g,1.657 g,0.00 mg,0,13.13 g,0,0,7.48 g
543,"Syrups, maple",100 g,260,0.1g,,0,12.00 mg,1.6 mg,0.00 mcg,0.00 mcg,0.081 mg,0.036 mg,1.270 mg,0.066 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.002 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,102.00 mg,0.018 mg,0.11 mg,21.00 mg,2.908 mg,2.00 mg,212.00 mg,0.6 mcg,1.47 mg,0.04 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.04 g,0.0 g,60.46 g,0.52 g,0.00 g,1.60 g,0.00 g,0.00 g,58.32 g,0.06 g,0.007 g,0.011 g,0.017 g,0.00 mg,0.0 g,0.47 g,0.00 mg,0.00 mg,32.39 g
544,Sorghum grain,100 g,329,3.5g,0.6g,0,2.00 mg,0,20.00 mcg,0.00 mcg,3.688 mg,0.367 mg,0.096 mg,0.332 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.443 mg,0.0 mg,0.00 IU,0.50 mg,0.50 mg,0,13.00 mg,0.284 mg,3.36 mg,165.00 mg,1.605 mg,289.00 mg,363.00 mg,12.2 mcg,1.67 mg,10.62 g,1.033 g,0.355 g,0.743 g,0.127 g,2.439 g,0.346 g,0.246 g,0,0.433 g,1.491 g,0.229 g,0.169 g,0.546 g,0.852 g,0.462 g,0.346 g,0.124 g,0.321 g,0.561 g,72.09 g,6.7 g,2.53 g,0,0,0,0,0,0,3.46 g,0.610 g,1.131 g,1.558 g,0.00 mg,0,1.43 g,0,0,12.40 g
545,"Oil, hazelnut",100 g,884,100g,7.4g,0,0.00 mg,0,0.00 mcg,0.00 mcg,0.000 mg,0.000 mg,0.000 mg,0.000 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.000 mg,0.0 mg,0,47.20 mg,47.20 mg,0,0.00 mg,0,0.00 mg,0.00 mg,0,0.00 mg,0.00 mg,0.0 mcg,0.00 mg,0.00 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 g,0.0 g,0.00 g,0,0,0,0,0,0,100.00 g,7.400 g,78.000 g,10.200 g,0.00 mg,0.0 g,0.00 g,0.00 mg,0.00 mg,0.00 g
546,"Pepeao, dried",100 g,298,0.4g,,0,70.00 mg,0,160.00 mcg,0.00 mcg,3.000 mg,21.477 mg,0.350 mg,0.826 mg,0.00 IU,0.00 mcg,0,0,0,0,0,0.00 mcg,0.950 mg,1.4 mg,0.00 IU,0,0,0,113.00 mg,5.070 mg,6.14 mg,146.00 mg,1.151 mg,116.00 mg,708.00 mg,45.3 mcg,7.52 mg,4.82 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.03 g,0,0,0,0,0,0,0,0,0.44 g,0,0,0,0.00 mg,0,2.57 g,0,0,11.14 g
547,"Purslane, raw",100 g,20,0.4g,,0,45.00 mg,12.8 mg,12.00 mcg,0.00 mcg,0.480 mg,0.036 mg,0.112 mg,0.047 mg,1320.00 IU,0,0,0,0,0,0,0.00 mcg,0.073 mg,21.0 mg,0.00 IU,0,0,0,65.00 mg,0.113 mg,1.99 mg,68.00 mg,0.303 mg,44.00 mg,494.00 mg,0.9 mcg,0.17 mg,2.03 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39 g,0,0,0,0,0,0,0,0,0.36 g,0,0,0,0.00 mg,0.0 g,1.36 g,0.00 mg,0.00 mg,92.86 g
548,"Radishes, raw",100 g,16,0.1g,,0,39.00 mg,6.5 mg,25.00 mcg,0.00 mcg,0.254 mg,0.165 mg,0.039 mg,0.012 mg,7.00 IU,0.00 mcg,0.00 mcg,4.00 mcg,0.00 mcg,10.00 mcg,0,0.00 mcg,0.071 mg,14.8 mg,0.00 IU,0.00 mg,0.00 mg,1.3 mcg,25.00 mg,0.050 mg,0.34 mg,10.00 mg,0.069 mg,20.00 mg,233.00 mg,0.6 mcg,0.28 mg,0.68 g,0.026 g,0.038 g,0.064 g,0.010 g,0.157 g,0.026 g,0.013 g,0,0.020 g,0.031 g,0.033 g,0.010 g,0.036 g,0.022 g,0.027 g,0.023 g,0.009 g,0.009 g,0.035 g,3.40 g,1.6 g,1.86 g,0.71 g,0.00 g,1.05 g,0.00 g,0.00 g,0.10 g,0.10 g,0.032 g,0.017 g,0.048 g,0.00 mg,0.0 g,0.55 g,0.00 mg,0.00 mg,95.27 g
549,"Rolls, french",100 g,277,4.3g,1g,0,574.00 mg,14.8 mg,113.00 mcg,80.00 mcg,4.352 mg,0.452 mg,0.300 mg,0.523 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,50.00 mcg,0,0.00 mcg,0.039 mg,0.0 mg,0.00 IU,0.30 mg,0.30 mg,1.8 mcg,91.00 mg,0.135 mg,2.71 mg,20.00 mg,0.559 mg,84.00 mg,114.00 mg,27.9 mcg,0.90 mg,8.60 g,0.302 g,0.320 g,0.414 g,0.182 g,2.772 g,0.309 g,0.188 g,0,0.336 g,0.608 g,0.231 g,0.153 g,0.422 g,0.926 g,0.416 g,0.255 g,0.099 g,0.249 g,0.380 g,50.20 g,3.2 g,0.31 g,0,0,0,0,0,0,4.30 g,0.962 g,1.961 g,0.834 g,0.00 mg,0.0 g,1.90 g,0.00 mg,0.00 mg,34.80 g
550,"Bagels, wheat",100 g,250,1.5g,,0,439.00 mg,9.8 mg,76.00 mcg,46.00 mcg,3.370 mg,0.375 mg,0.209 mg,0.403 mg,0.00 IU,0.00 mcg,0.00 mcg,2.00 mcg,0.00 mcg,88.00 mcg,0,0.00 mcg,0.147 mg,0.0 mg,0.00 IU,0.32 mg,0.32 mg,1.5 mcg,20.00 mg,0.175 mg,2.76 mg,51.00 mg,1.430 mg,142.00 mg,165.00 mg,28.7 mcg,1.10 mg,10.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.89 g,4.1 g,6.12 g,0,0,0,0,0,0,1.53 g,0.000 g,0.290 g,0.936 g,0.00 mg,0.0 g,1.82 g,0.00 mg,0.00 mg,37.55 g
551,"KFC, Coleslaw",100 g,144,8.6g,1.3g,2mg,189.00 mg,0,0,0,0.206 mg,0.242 mg,0.015 mg,0.037 mg,4.00 IU,1.00 mcg,0,0,0,0,0,0.03 mcg,0.121 mg,14.6 mg,0,0.54 mg,0.54 mg,70.9 mcg,28.00 mg,0.016 mg,0.21 mg,9.00 mg,0.121 mg,20.00 mg,140.00 mg,0,0.15 mg,0.91 g,0.051 g,0.043 g,0.068 g,0.008 g,0.162 g,0.025 g,0.017 g,0,0.025 g,0.034 g,0.034 g,0.017 g,0.025 g,0.051 g,0.034 g,0.025 g,0.008 g,0.017 g,0.034 g,15.65 g,2.0 g,13.54 g,1.45 g,0.19 g,1.72 g,0.00 g,0.00 g,10.18 g,8.64 g,1.303 g,1.963 g,4.888 g,2.00 mg,0,0.81 g,0,0,73.99 g
552,"Parsnips, raw",100 g,75,0.3g,0.1g,0,10.00 mg,0,67.00 mcg,0.00 mcg,0.700 mg,0.600 mg,0.050 mg,0.090 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.090 mg,17.0 mg,0.00 IU,1.49 mg,1.49 mg,22.5 mcg,36.00 mg,0.120 mg,0.59 mg,29.00 mg,0.560 mg,71.00 mg,375.00 mg,1.8 mcg,0.59 mg,1.20 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.99 g,4.9 g,4.80 g,0,0,0,0,0,0,0.30 g,0.050 g,0.112 g,0.047 g,0.00 mg,0,0.98 g,0.00 mg,0.00 mg,79.53 g
553,"Sugars, maple",100 g,354,0.2g,,0,11.00 mg,2.1 mg,0.00 mcg,0.00 mcg,0.040 mg,0.048 mg,0.013 mg,0.009 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.003 mg,0.0 mg,0.00 IU,0.00 mg,0.00 mg,0.0 mcg,90.00 mg,0.099 mg,1.61 mg,19.00 mg,4.422 mg,3.00 mg,274.00 mg,0.8 mcg,6.06 mg,0.10 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.90 g,0.0 g,84.87 g,0,0,0,0,0,0,0.20 g,0.036 g,0.064 g,0.100 g,0.00 mg,0.0 g,0.80 g,0.00 mg,0.00 mg,8.00 g
554,"Collards, raw",100 g,32,0.6g,0.1g,0,17.00 mg,23.2 mg,129.00 mcg,0.00 mcg,0.742 mg,0.267 mg,0.130 mg,0.054 mg,5019.00 IU,251.00 mcg,14.00 mcg,2991.00 mcg,28.00 mcg,4323.00 mcg,0,0.00 mcg,0.165 mg,35.3 mg,0.00 IU,2.26 mg,2.26 mg,437.1 mcg,232.00 mg,0.046 mg,0.47 mg,27.00 mg,0.658 mg,25.00 mg,213.00 mg,1.3 mcg,0.21 mg,3.02 g,0.105 g,0.125 g,0.187 g,0.025 g,0.204 g,0.094 g,0.047 g,0,0.100 g,0.151 g,0.117 g,0.033 g,0.087 g,0.105 g,0.078 g,0.086 g,0.031 g,0.066 g,0.120 g,5.42 g,4.0 g,0.46 g,0,0,0,0,0,0,0.61 g,0.055 g,0.030 g,0.201 g,0.00 mg,0.0 g,1.32 g,0.00 mg,0.00 mg,89.62 g
555,Rice crackers,100 g,416,5g,,0,233.00 mg,33.4 mg,22.00 mcg,0.00 mcg,5.537 mg,1.624 mg,0.101 mg,0.436 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.554 mg,0.0 mg,0.00 IU,1.26 mg,1.26 mg,2.1 mcg,0.00 mg,0.301 mg,0.00 mg,156.00 mg,4.071 mg,362.00 mg,243.00 mg,25.5 mcg,2.20 mg,10.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.64 g,0.0 g,0.00 g,0,0,0,0,0,0,5.00 g,0.000 g,3.021 g,1.641 g,0.00 mg,0.0 g,2.24 g,0.00 mg,0.00 mg,0.11 g
556,"Cheese, colby",100 g,394,32g,20g,95mg,604.00 mg,15.4 mg,18.00 mcg,0.00 mcg,0.093 mg,0.210 mg,0.375 mg,0.015 mg,994.00 IU,264.00 mcg,0.00 mcg,82.00 mcg,0.00 mcg,0.00 mcg,0,0.83 mcg,0.079 mg,0.0 mg,24.00 IU,0.28 mg,0.28 mg,2.7 mcg,685.00 mg,0.042 mg,0.76 mg,26.00 mg,0.012 mg,457.00 mg,127.00 mg,14.5 mcg,3.07 mg,23.76 g,0.670 g,0.898 g,1.527 g,0.119 g,5.813 g,0.410 g,0.834 g,0,1.475 g,2.275 g,1.978 g,0.622 g,1.251 g,2.678 g,1.389 g,0.845 g,0.305 g,1.147 g,1.586 g,2.57 g,0.0 g,0.52 g,0,0,0,0,0,0,32.11 g,20.218 g,9.280 g,0.953 g,95.00 mg,0.0 g,3.36 g,0.00 mg,0.00 mg,38.20 g
